REPOSITORY                     TAG                 IMAGE ID            CREATED             SIZE
hyperledger/fabric-ca          latest              72617b4fa9b4        2 months ago        299MB
hyperledger/fabric-ca          x86_64-1.1.0        72617b4fa9b4        2 months ago        299MB
hyperledger/fabric-tools       latest              b7bfddf508bc        2 months ago        1.46GB
hyperledger/fabric-tools       x86_64-1.1.0        b7bfddf508bc        2 months ago        1.46GB
hyperledger/fabric-orderer     latest              ce0c810df36a        2 months ago        180MB
hyperledger/fabric-orderer     x86_64-1.1.0        ce0c810df36a        2 months ago        180MB
hyperledger/fabric-peer        latest              b023f9be0771        2 months ago        187MB
hyperledger/fabric-peer        x86_64-1.1.0        b023f9be0771        2 months ago        187MB
hyperledger/fabric-javaenv     latest              82098abb1a17        2 months ago        1.52GB
hyperledger/fabric-javaenv     x86_64-1.1.0        82098abb1a17        2 months ago        1.52GB
hyperledger/fabric-ccenv       latest              c8b4909d8d46        2 months ago        1.39GB
hyperledger/fabric-ccenv       x86_64-1.1.0        c8b4909d8d46        2 months ago        1.39GB
hyperledger/fabric-baseimage   x86_64-0.4.6        dbe6787b5747        3 months ago        1.37GB
hyperledger/fabric-zookeeper   latest              92cbb952b6f8        3 months ago        1.39GB
hyperledger/fabric-zookeeper   x86_64-0.4.6        92cbb952b6f8        3 months ago        1.39GB
hyperledger/fabric-kafka       latest              554c591b86a8        3 months ago        1.4GB
hyperledger/fabric-kafka       x86_64-0.4.6        554c591b86a8        3 months ago        1.4GB
hyperledger/fabric-couchdb     latest              7e73c828fc5b        3 months ago        1.56GB
hyperledger/fabric-couchdb     x86_64-0.4.6        7e73c828fc5b        3 months ago        1.56GB
hyperledger/fabric-baseos      x86_64-0.4.6        220e5cf3fb7f        3 months ago        151MB
